MOF,O2,N2,CO2,CH4,H2,He
UGAPOI_clean,,320947.3010467096,419114.9702218182,,,4512188.945114617
UGAQEY_clean,1063486.1317400415,685623.985378553,689568.2147967395,234961.28352211165,,4604711.838570079
UGELIB_clean,,3108089.9011883843,3156119.426551965,,,
UGEPEB01_clean,,,,,664074.132561167,
UGEPEB_clean,,,,,641746.11364869,
UGIGAS01_clean,6883439.861978849,6726666.790509456,4307791.348050325,258513.32367091786,,43532481.78489484
UGIGAS_clean,6109872.845915339,5888136.1168197505,3832359.532871972,222428.40660576394,,39353000.07141934
UGOCAW_clean,3635447.641686452,4351740.963847112,3173161.3333233604,1546357.0196666094,34144397.30350947,34132171.53077844
UGOFED_clean,1509493.4115622418,822844.314037096,,303456.1578408883,,6755628.666753285
UGOSOY_charged,3029889.0215181857,2728835.302333825,2261407.856572248,1028785.4463270821,,27976588.383547302
UGUQOC_charged,1271600.503874421,720426.4744982413,673135.1512934393,210053.1296114563,,5865760.054181767
UGUQUK_clean,,,,,3868144.7425646423,
UGUXAV_clean,,3774630.3003790113,,,,19103076.61203539
UHADAI_clean,680111.9925105341,283229.8500214075,,229019.15207625288,,4838392.047502699
UHAXUW_clean,490292.63298857433,310399.1908546636,300759.89925665606,,,4474080.016345788
UHISOU_clean,4714375.863382387,2793112.9599452703,3227900.991647712,992946.0721036398,,20475293.58784549
UHUPET_clean,,6178762.8375044335,903530.0979849516,,,
UJAQEC_clean,,,,,,22922660.42039669
UJAQUS_clean,3640581.7670993847,2887228.828188886,2253361.600180074,1260696.8852472494,,22932241.964352712
UJEGUL_clean,4818298.5988453645,4292584.127988843,4134570.512107954,1750870.358283658,,31345864.397856425
UJILAA_clean,2759572.5353719825,1583433.75731036,398004.44145935785,,,
UJOKIP01_clean,,,,,3131.505003402009,
UJOWEW_clean,1869557.1588817434,1335317.9352881925,996541.3647994411,412761.25151403673,,11840055.992411021
UJULIW_clean,15835050.069528177,14414537.89397854,12824895.874062603,6535659.273906335,,105052985.72397627
UJUMUJ_clean,,,,,4698499.6320797745,
UJUPUM_clean,5829367.925739416,4379271.438592028,1953419.8330711506,,,35195385.46338097
UJUQIB_clean,3951269.850997089,3377901.318806247,2363756.455631783,1693317.8675886719,,23411687.33168247
UKAJOH_clean,892073.1610627316,464222.2420783425,458475.3948815991,119773.73492270346,6245071.802480229,8048375.78372992
UKAZEM_clean,,4182956.3165266598,739688.9126827547,,,
UKEXEP_clean,948755.0933855296,471495.1666007854,508420.14918281283,124552.40400874733,,2609610.4670340884
UKIQIP_clean,6686310.636406432,5328097.1927591795,3658611.4538054178,,,47062178.06545517
UKIQOV_clean,4935057.472798361,5306110.005865398,701205.8966278189,1102982.1470345901,,56384504.37969077
UKIQUB_clean,6317226.229717847,5712657.087139204,4181303.294372507,3172426.120301135,,44652278.10059338
